complaint_id,customer_id,customer_age,customer_gender,customer_segment,customer_city,complaint_date,complaint_time,category,severity,description,channel,status,resolution_date,resolution_days,compensation_amount,satisfaction_score,escalated,product_involved,branch_code
CMP100000,SAN100494,41,Other,Standard Plus,London,2025-11-02,09:54:10,Branch Service,Medium,Long queues at branch,Online Chat,Closed,2025-11-04,2.0,0.0,3.0,False,Help to Buy ISA,
CMP100001,SAN100494,41,Other,Standard Plus,London,2024-12-02,01:39:01,Payment Delays,Critical,Salary not credited on time,Mobile App,Closed,2024-12-03,1.0,0.0,2.0,False,Everyday Saver,BR300
CMP100002,SAN100494,41,Other,Standard Plus,London,2025-11-04,07:41:11,Interest Rate Disputes,Medium,Savings rate lower than advertised,Email,Resolved,2025-11-18,14.0,71.23,2.0,False,Personal Loan,BR213
CMP100003,SAN100494,41,Other,Standard Plus,London,2024-07-06,10:21:44,Interest Rate Disputes,Low,Interest calculation incorrect,Phone,Resolved,2024-07-23,17.0,0.0,4.0,False,Everyday Current Account,
CMP100004,SAN100494,41,Other,Standard Plus,London,2025-03-25,20:52:22,Customer Service,Low,Long wait times on phone support,Mobile App,Resolved,2025-03-26,1.0,0.0,2.0,False,Cash ISA,
CMP100005,SAN100494,41,Other,Standard Plus,London,2025-10-30,15:47:53,Fraud/Security,Medium,Phishing email received,Phone,Open,,,0.0,,False,Cash ISA,BR974
CMP100006,SAN100494,41,Other,Standard Plus,London,2025-07-20,02:03:08,Fee Complaints,Low,Foreign transaction fee too high,Phone,Closed,2025-07-21,1.0,162.87,4.0,False,Mortgage,BR243
CMP100007,SAN100494,41,Other,Standard Plus,London,2025-05-09,08:27:34,Fee Complaints,High,Foreign transaction fee too high,Phone,Closed,2025-05-19,10.0,0.0,5.0,False,Mortgage,
CMP100008,SAN100033,43,Other,Premium,Newcastle,2024-06-28,19:44:27,Fraud/Security,Medium,Phishing email received,Branch,Resolved,2024-07-15,17.0,0.0,5.0,False,Cash ISA,BR603
CMP100009,SAN100033,43,Other,Premium,Newcastle,2025-07-11,02:29:31,Transaction Disputes,Medium,Double charged for a purchase,Social Media,Closed,2025-08-08,28.0,0.0,3.0,False,Help to Buy ISA,
CMP100010,SAN100033,43,Other,Premium,Newcastle,2024-06-28,03:55:35,Card Problems,Low,Card declined despite sufficient funds,Branch,Resolved,2024-07-15,17.0,0.0,4.0,False,Everyday Current Account,
CMP100011,SAN100033,43,Other,Premium,Newcastle,2024-10-22,20:56:04,Interest Rate Disputes,High,Promotional rate not applied,Phone,Closed,2024-11-13,22.0,112.89,2.0,True,Stocks & Shares ISA,
CMP100012,SAN100033,43,Other,Premium,Newcastle,2024-09-29,22:28:44,Mobile App Issues,Low,App shows incorrect balance,Online Chat,Closed,2024-10-04,5.0,0.0,1.0,False,Mortgage,
CMP100013,SAN100033,43,Other,Premium,Newcastle,2025-01-29,23:07:59,Payment Delays,High,International transfer delayed,Mobile App,Closed,2025-02-21,23.0,0.0,2.0,False,Business Current Account,
