transaction_id,customer_id,transaction_date,transaction_time,transaction_type,category,amount,currency,merchant_name,merchant_category_code,channel,location,is_international,is_recurring,status
TXN1000000,SAN100353,2025-10-13,12:19:15,Debit,Transfer Out,396.33,GBP,"Davison, Smith and Noble",2273,Online,Coventry,False,True,Completed
TXN1000001,SAN100406,2025-01-21,09:23:14,Credit,Salary,2810.66,GBP,Gibbons-Burns,1971,Mobile App,Leeds,False,True,Completed
TXN1000002,SAN100005,2025-08-17,15:14:29,Debit,Transfer Out,66.32,GBP,Whittaker-Davies,3028,Direct Debit,Newcastle,False,False,Completed
TXN1000003,SAN100014,2025-03-05,08:38:02,Debit,Utilities,33.38,GBP,Virgin Media,5544,Direct Debit,Belfast,False,False,Completed
TXN1000004,SAN100313,2025-09-29,20:02:04,Debit,Transport,103.46,GBP,TfL,2623,Direct Debit,London,False,False,Pending
TXN1000005,SAN100087,2025-01-03,09:30:05,Debit,Direct Debit,152.03,GBP,Cook-Mitchell,1070,Online,Newcastle,False,False,Completed
TXN1000006,SAN100357,2025-01-29,17:05:48,Debit,Subscriptions,41.1,GBP,Howarth-Jones,2758,In-Store,Belfast,False,False,Completed
TXN1000007,SAN100208,2025-06-14,03:10:35,Debit,Utilities,153.47,GBP,Thames Water,3025,Mobile App,Leeds,False,False,Completed
TXN1000008,SAN100147,2025-09-12,18:58:13,Debit,Travel,145.82,GBP,"Williams, Walker and Tyler",2347,ATM,Coventry,False,False,Completed
TXN1000009,SAN100159,2025-09-27,02:02:05,Credit,Salary,4892.81,GBP,"Gill, Anderson and Hamilton",8273,In-Store,Stoke-on-Trent,False,False,Completed
TXN1000010,SAN100438,2025-08-01,11:37:11,Debit,Utilities,179.48,GBP,BT,7020,In-Store,London,False,False,Completed
TXN1000011,SAN100224,2025-07-13,16:52:02,Debit,Travel,133.42,GBP,Adams-West,2392,Online,Glasgow,False,False,Pending
TXN1000012,SAN100379,2025-08-25,17:17:45,Debit,Direct Debit,179.02,GBP,"Hunter, Brown and Wheeler",3764,Online,Belfast,False,False,Completed
TXN1000013,SAN100206,2025-11-06,12:46:53,Debit,Utilities,50.41,GBP,BT,9177,ATM,Bristol,False,False,Completed
TXN1000014,SAN100182,2025-05-31,23:15:02,Debit,Education,135.0,GBP,Clark-Morgan,7626,Mobile App,Bradford,False,False,Completed
TXN1000015,SAN100128,2025-04-27,23:57:51,Debit,Education,101.97,GBP,"Wood, Scott and Curtis",3205,Online,Leeds,False,False,Completed
TXN1000016,SAN100013,2025-10-09,14:06:34,Debit,Entertainment,79.61,GBP,Odeon,6356,In-Store,Edinburgh,False,True,Completed
TXN1000017,SAN100384,2025-07-20,04:38:35,Debit,Travel,154.68,GBP,"Morgan, Gibson and Lloyd",8635,In-Store,Edinburgh,False,False,Completed
TXN1000018,SAN100175,2025-11-23,00:53:14,Debit,Transfer Out,432.64,GBP,Booth-Russell,9955,Online,Manchester,False,False,Completed
TXN1000019,SAN100230,2025-07-08,00:28:04,Debit,Shopping,171.31,GBP,Godfrey and Sons,8250,Mobile App,Manchester,True,False,Completed
TXN1000020,SAN100155,2025-11-20,09:02:31,Debit,Direct Debit,142.68,GBP,"Nolan, Middleton and Evans",9052,Mobile App,Glasgow,False,False,Completed
TXN1000021,SAN100291,2025-03-20,20:57:02,Credit,Salary,2707.49,GBP,Knight-Taylor,9837,Direct Debit,Coventry,False,False,Completed
TXN1000022,SAN100200,2025-08-12,22:19:00,Debit,Dining,101.46,GBP,Costa,6779,ATM,Cardiff,False,False,Completed
TXN1000023,SAN100187,2025-07-25,12:42:59,Debit,Shopping,162.86,GBP,Carroll-Parsons,1440,ATM,Nottingham,False,False,Completed
TXN1000024,SAN100179,2025-09-28,23:19:49,Debit,Groceries,133.94,GBP,Sainsbury's,4844,ATM,Birmingham,False,True,Completed
TXN1000025,SAN100172,2025-05-05,02:28:29,Debit,Entertainment,8.84,GBP,Amazon Prime,1612,Mobile App,Southampton,False,False,Completed
TXN1000026,SAN100356,2025-11-21,05:25:00,Debit,Education,119.66,GBP,Clark-Jarvis,6185,Mobile App,Nottingham,False,True,Completed
TXN1000027,SAN100353,2025-05-06,00:40:44,Credit,Salary,1426.59,GBP,Fisher and Sons,9138,Direct Debit,Cardiff,False,False,Pending
TXN1000028,SAN100103,2025-06-16,18:45:03,Debit,Education,128.91,GBP,Kirby-Knowles,2234,Direct Debit,Newcastle,False,True,Failed
TXN1000029,SAN100205,2025-08-05,23:32:57,Debit,Transfer Out,128.43,GBP,"Abbott, Houghton and Bennett",2506,Direct Debit,Leeds,False,False,Completed
TXN1000030,SAN100271,2025-10-09,11:44:45,Debit,Education,88.29,GBP,Forster Inc,6690,Online,Edinburgh,False,False,Completed
TXN1000031,SAN100160,2025-01-02,08:56:29,Debit,Transport,85.79,GBP,Uber,9443,Mobile App,Stoke-on-Trent,False,True,Completed
TXN1000032,SAN100441,2024-12-06,15:32:20,Debit,Entertainment,117.48,GBP,Spotify,8656,ATM,Stoke-on-Trent,False,False,Completed
TXN1000033,SAN100478,2025-11-06,01:11:38,Debit,Subscriptions,146.69,GBP,Hughes PLC,1981,Direct Debit,Newcastle,False,True,Completed
TXN1000034,SAN100350,2025-11-04,03:02:33,Debit,Transfer Out,164.13,GBP,Parkinson PLC,8133,Mobile App,Cardiff,False,False,Completed
TXN1000035,SAN100433,2025-06-30,19:47:28,Debit,Healthcare,57.05,GBP,King Group,5702,In-Store,Bristol,False,False,Completed
TXN1000036,SAN100076,2025-02-15,23:49:18,Debit,Transport,10.4,GBP,Uber,8604,Mobile App,Stoke-on-Trent,False,False,Completed
TXN1000037,SAN100103,2025-09-10,05:50:38,Debit,Entertainment,58.18,GBP,Netflix,5233,ATM,Stoke-on-Trent,False,False,Pending
TXN1000038,SAN100248,2025-06-20,00:04:00,Debit,Transfer Out,29.56,GBP,Chapman Group,2375,ATM,Edinburgh,False,False,Completed
TXN1000039,SAN100186,2025-11-12,15:22:15,Credit,Salary,3458.44,GBP,Morgan-Johnston,2479,Mobile App,Glasgow,False,False,Completed
TXN1000040,SAN100061,2025-04-30,09:19:55,Debit,Travel,134.52,GBP,"Campbell, Cox and Bailey",9605,ATM,Coventry,False,False,Completed
TXN1000041,SAN100413,2025-04-16,09:51:59,Debit,Shopping,69.21,GBP,Buckley LLC,7388,In-Store,Southampton,False,True,Completed
TXN1000042,SAN100140,2025-10-17,17:49:49,Debit,Education,84.63,GBP,Brookes-Poole,1916,Mobile App,Stoke-on-Trent,False,False,Completed
TXN1000043,SAN100216,2025-10-28,14:17:54,Debit,Education,138.13,GBP,"Smith, Lyons and Carroll",5550,In-Store,Belfast,False,False,Completed
TXN1000044,SAN100330,2024-12-06,07:41:07,Debit,Direct Debit,123.13,GBP,Pearson PLC,1895,In-Store,Bristol,False,False,Pending
TXN1000045,SAN100185,2025-09-25,23:54:56,Debit,Direct Debit,163.39,GBP,"Stephens, Thompson and Allen",2999,Direct Debit,Sheffield,False,False,Completed
TXN1000046,SAN100201,2025-05-06,15:00:44,Debit,Direct Debit,195.71,GBP,"Simpson, O'Connor and Berry",5186,ATM,Birmingham,False,False,Completed
TXN1000047,SAN100440,2025-09-29,02:31:11,Debit,Direct Debit,36.24,GBP,"Mahmood, Singh and Black",8190,ATM,Southampton,False,False,Completed
TXN1000048,SAN100399,2025-08-23,10:35:36,Debit,Education,96.86,GBP,Cooke-Weston,7765,ATM,Southampton,False,False,Completed
TXN1000049,SAN100357,2025-05-09,07:41:06,Debit,Dining,103.74,GBP,Wagamama,7895,Direct Debit,Stoke-on-Trent,False,False,Completed
TXN1000050,SAN100026,2025-01-06,00:01:31,Credit,Salary,3387.17,GBP,Pollard Ltd,8264,In-Store,London,False,False,Completed
TXN1000051,SAN100042,2025-06-29,06:07:14,Debit,Utilities,35.78,GBP,Sky,3131,Direct Debit,Southampton,False,False,Completed
TXN1000052,SAN100376,2025-04-22,18:01:48,Debit,Entertainment,55.83,GBP,Odeon,6367,ATM,Newcastle,False,False,Completed
TXN1000053,SAN100193,2025-09-04,20:59:04,Debit,ATM Withdrawal,444.48,GBP,Smart-Walsh,4677,Online,London,False,False,Completed
TXN1000054,SAN100464,2025-03-28,08:12:04,Debit,Utilities,194.95,GBP,EDF Energy,5289,In-Store,Manchester,False,False,Completed
TXN1000055,SAN100045,2025-01-03,16:37:31,Debit,Shopping,38.17,GBP,Williams Ltd,2922,Online,Bradford,False,False,Completed
TXN1000056,SAN100344,2025-09-07,17:50:55,Debit,Education,28.11,GBP,Day Ltd,4328,In-Store,Bristol,False,False,Completed
TXN1000057,SAN100438,2025-06-17,02:43:12,Debit,Transport,122.02,GBP,Uber,4102,Mobile App,Liverpool,False,True,Completed
TXN1000058,SAN100134,2025-11-20,14:47:01,Debit,Transport,125.45,GBP,National Rail,7056,Direct Debit,Leicester,False,False,Completed
TXN1000059,SAN100498,2025-06-27,09:05:24,Credit,Transfer In,2289.0,GBP,Cox and Sons,4476,Mobile App,Southampton,False,False,Completed
TXN1000060,SAN100030,2025-11-24,15:16:46,Debit,Groceries,69.91,GBP,Sainsbury's,8715,ATM,Manchester,True,False,Completed
TXN1000061,SAN100202,2025-07-20,06:08:00,Credit,Salary,2169.06,GBP,Birch-Riley,1673,Direct Debit,Liverpool,False,False,Completed
TXN1000062,SAN100449,2025-02-19,14:24:57,Debit,Education,30.72,GBP,Wilkinson and Sons,6198,Direct Debit,Southampton,False,True,Completed
TXN1000063,SAN100065,2025-08-22,18:49:22,Debit,Education,174.98,GBP,Welch-Slater,5603,ATM,Southampton,False,False,Completed
TXN1000064,SAN100389,2025-03-11,00:34:58,Debit,Direct Debit,56.43,GBP,Johnson Ltd,6128,Mobile App,Liverpool,False,False,Completed
TXN1000065,SAN100077,2025-11-25,03:24:06,Debit,Travel,171.34,GBP,Griffiths PLC,8208,Online,Newcastle,False,False,Completed
TXN1000066,SAN100133,2025-01-14,10:27:34,Debit,Entertainment,142.66,GBP,Disney+,2900,Mobile App,Manchester,False,False,Completed
TXN1000067,SAN100234,2025-01-21,10:14:28,Debit,Education,26.94,GBP,Lawrence-Green,3425,Online,Belfast,False,False,Completed
TXN1000068,SAN100086,2025-05-30,01:41:18,Credit,Transfer In,2789.32,GBP,Walker-Martin,5469,Direct Debit,Newcastle,False,False,Completed
TXN1000069,SAN100292,2025-01-06,09:36:29,Debit,Entertainment,86.2,GBP,Netflix,5033,Mobile App,Leeds,False,True,Completed
TXN1000070,SAN100348,2025-09-17,00:27:28,Debit,Utilities,81.86,GBP,Sky,2737,ATM,Glasgow,True,False,Completed
